"","Antal laddhybrider","Antal elbilar","Antal laddbara fordon","Laddbara fordon/capita","Antal laddpunkter","Antal laddstationer","DC laddstationer","LP/capita","LP/Personbil","Andel av bilbestånd","CPEV"
"ÅSELE","29","20","50","1.8","4","2","1","0.14","0.24","2.92","0.08"
"ÅSTORP","194","250","454","2.78","32","4","2","0.2","0.39","5.36","0.07"
"ÅTVIDABERG","176","197","382","3.32","0","0","0","0.0","0.0","5.86","0.0"
"ÄLMHULT","441","326","789","4.36","84","10","0","0.46","0.93","8.49","0.11"
"ÄLVDALEN","45","43","92","1.31","101","20","5","1.44","2.07","1.8","1.1"
"ÄLVKARLEBY","101","113","224","2.33","6","2","0","0.06","0.12","4.32","0.03"
"ÄLVSBYN","75","97","180","2.28","16","6","1","0.2","0.33","3.52","0.09"
"ÄNGELHOLM","912","1210","2239","5.06","107","17","1","0.24","0.45","9.01","0.05"
"ÖCKERÖ","240","278","539","4.21","13","7","0","0.1","0.22","8.64","0.02"
"ÖDESHÖG","54","88","147","2.76","55","13","3","1.03","1.74","4.5","0.37"
"ÖREBRO","3068","3183","6462","4.09","417","52","13","0.26","0.61","9.19","0.06"
"ÖRKELLJUNGA","82","111","202","1.93","25","6","5","0.24","0.42","3.26","0.12"
"ÖRNSKÖLDSVIK","840","967","1898","3.42","105","19","7","0.19","0.33","5.69","0.06"
"ÖSTERSUND","1035","1419","2653","4.1","266","64","7","0.41","0.8","7.38","0.1"
"ÖSTERÅKER","1420","1617","3077","6.26","81","20","1","0.16","0.37","14.04","0.03"
"ÖSTHAMMAR","278","373","670","3.0","21","6","2","0.09","0.17","5.23","0.03"
"ÖSTRA GÖINGE","170","226","410","2.81","2","1","0","0.01","0.03","4.97","0.0"
"ÖVERKALIX","16","27","43","1.36","17","6","1","0.54","0.79","2.0","0.4"
"ÖVERTORNEÅ","37","40","79","1.92","3","1","1","0.07","0.11","2.94","0.04"
